DSAA
 221 221
-0.10393494E+02  0.10393494E+02  0.94486307E-01
-0.10393494E+02  0.10393494E+02  0.94486307E-01
 0.00000000E+00  0.00000000E+00
 0.31081994E-07  0.39649734E-07  0.50342549E-07  0.63620334E-07  0.80024862E-07  0.10019009E-06  0.12485275E-06  0.15486308E-06
 0.19119524E-06  0.23495730E-06  0.28740004E-06  0.34992443E-06  0.42408704E-06  0.51160283E-06  0.61434479E-06  0.73433971E-06
 0.87375954E-06  0.10349077E-05  0.12201999E-05  0.14321387E-05  0.16732824E-05  0.19462068E-05  0.22534608E-05  0.25975160E-05
 0.29807101E-05  0.34051861E-05  0.38728267E-05  0.43851863E-05  0.49434214E-05  0.55482220E-05  0.61997445E-05  0.68975488E-05
 0.76405428E-05  0.84269334E-05  0.92541900E-05  0.10119018E-04  0.11017350E-04  0.11944346E-04  0.12894418E-04  0.13861263E-04
 0.14837926E-04  0.15816862E-04  0.16790032E-04  0.17749003E-04  0.18685067E-04  0.19589366E-04  0.20453033E-04  0.21267327E-04
 0.22023786E-04  0.22714365E-04  0.23331576E-04  0.23868626E-04  0.24319530E-04  0.24679225E-04  0.24943660E-04  0.25109868E-04
 0.25176020E-04  0.25141457E-04  0.25006699E-04  0.24773430E-04  0.24444467E-04  0.24023700E-04  0.23516023E-04  0.22927234E-04
 0.22263935E-04  0.21533407E-04  0.20743487E-04  0.19902424E-04  0.19018750E-04  0.18101134E-04  0.17158249E-04  0.16198645E-04
 0.15230620E-04  0.14262115E-04  0.13300612E-04  0.12353050E-04  0.11425754E-04  0.10524383E-04  0.96538847E-05  0.88184814E-05
 0.80216556E-05  0.72661590E-05  0.65540312E-05  0.58866310E-05  0.52646774E-05  0.46882988E-05  0.41570891E-05  0.36701677E-05
 0.32262430E-05  0.28236771E-05  0.24605493E-05  0.21347186E-05  0.18438828E-05  0.15856337E-05  0.13575076E-05  0.11570301E-05
 0.98175562E-06  0.82930068E-06  0.69737170E-06  0.58378682E-06  0.48649249E-06  0.40357506E-06  0.33326790E-06  0.27395454E-06
 0.22416845E-06  0.18258989E-06  0.14804058E-06  0.11947646E-06  0.95979259E-07  0.76747108E-07  0.61084718E-07  0.48393335E-07
