DSAA
 161 161
-0.75589045E+01  0.75589045E+01  0.94486307E-01
-0.75589045E+01  0.75589045E+01  0.94486307E-01
 0.00000000E+00  0.00000000E+00
 0.64351767E-12  0.82174757E-12  0.10426670E-11  0.13145732E-11  0.16468672E-11  0.20500751E-11  0.25358354E-11  0.31168452E-11
 0.38067559E-11  0.46200133E-11  0.55716340E-11  0.66769149E-11  0.79510733E-11  0.94088175E-11  0.11063853E-10  0.12928333E-10
 0.15012258E-10  0.17322855E-10  0.19863944E-10  0.22635312E-10  0.25508342E-10  0.28687314E-10  0.32058763E-10  0.35600109E-10
 0.39282730E-10  0.43072024E-10  0.46927693E-10  0.50804230E-10  0.54651626E-10  0.58416294E-10  0.62042184E-10  0.70363698E-10
 0.75411468E-10  0.80775045E-10  0.86575005E-10  0.97170634E-10  0.10562608E-09  0.11546008E-09  0.12704194E-09  0.16902282E-09
 0.19598278E-09  0.59120423E-09  0.84971024E-09  0.12357284E-08  0.18080054E-08  0.26491523E-08  0.38736162E-08  0.56374991E-08
 0.81503010E-08  0.11688506E-07  0.16610695E-07  0.23373585E-07  0.32548002E-07  0.44833420E-07  0.61069253E-07  0.82240717E-07
 0.10947678E-06  0.14403876E-06  0.18729069E-06  0.24066447E-06  0.30559932E-06  0.38346961E-06  0.47549651E-06  0.58264716E-06
 0.70552700E-06  0.84427112E-06  0.99844267E-06  0.11669475E-05  0.13479738E-05  0.15389660E-05  0.17366392E-05  0.19370394E-05
 0.21356512E-05  0.23275503E-05  0.25069993E-05  0.26699877E-05  0.28111001E-05  0.29259291E-05  0.30107765E-05  0.30628474E-05
 0.30804014E-05  0.30628474E-05  0.30107765E-05  0.29259291E-05  0.28111001E-05  0.26699877E-05  0.25069993E-05  0.23275503E-05
 0.21356512E-05  0.19370394E-05  0.17366392E-05  0.15389660E-05  0.13479738E-05  0.11669475E-05  0.99844267E-06  0.84427112E-06
 0.70552700E-06  0.58264716E-06  0.47549651E-06  0.38346961E-06  0.30559932E-06  0.24066447E-06  0.18729069E-06  0.14403876E-06
 0.10947678E-06  0.82240717E-07  0.61069253E-07  0.44833420E-07  0.32548002E-07  0.23373585E-07  0.16610695E-07  0.11688506E-07
 0.81503010E-08  0.56374991E-08  0.38736162E-08  0.26491523E-08  0.18080054E-08  0.12357284E-08  0.84971024E-09  0.59120423E-09
 0.19598278E-09  0.16902282E-09  0.12704194E-09  0.11546008E-09  0.10562608E-09  0.97170634E-10  0.86575005E-10  0.80775045E-10
 0.75411468E-10  0.70363698E-10  0.62042184E-10  0.58416294E-10  0.54651626E-10  0.50804230E-10  0.46927693E-10  0.43072024E-10
